Código Município Completo,Nome_Município,UF,CAPAG,Indicador 1,Nota 1,Indicador 2,Nota 2,Indicador 3,Nota 3,ICF
2206951,Novo Santo Antônio,PI,C,"16,24%",A,"92,84%",B,"-8,67%",C,Cicf
2207009,Oeiras,PI,C,"37,73%",A,"93,72%",B,"-6,00%",C,Dicf
2207108,Olho D'Água do Piauí,PI,n.d.,"0,04%",A,"99,06%",C,n.d.,n.d.,Cicf
2207207,Padre Marcos,PI,C,"5,95%",A,"92,85%",B,"-1,13%",C,Bicf
2207306,Paes Landim,PI,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Bicf
2207355,Pajeú do Piauí,PI,n.d.,n.d.,n.d.,"90,03%",B,n.d.,n.d.,Bicf
2207405,Palmeira do Piauí,PI,A,"1,63%",A,"82,67%",A,"0,72%",B,Cicf
2207504,Palmeirais,PI,C,"5,97%",A,"96,76%",C,"-7,02%",C,Cicf
2207553,Paquetá,PI,B,"9,50%",A,"94,49%",B,"1,73%",B,Bicf
2207603,Parnaguá,PI,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Dicf
2207702,Parnaíba,PI,C,"5,61%",A,"94,79%",B,"-1,79%",C,Dicf
2207751,Passagem Franca do Piauí,PI,n.d.,"14,77%",A,"94,50%",B,n.d.,n.d.,Cicf
2207777,Patos do Piauí,PI,B,"2,89%",A,"89,88%",B,"1,85%",B,Cicf
2207793,Pau D'Arco do Piauí,PI,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Cicf
2207801,Paulistana,PI,C,"6,75%",A,"93,95%",B,"-9,17%",C,Cicf
2207850,Pavussu,PI,C,"3,57%",A,"97,93%",C,"-28,35%",C,Dicf
2207900,Pedro II,PI,C,"12,90%",A,"91,80%",B,"-2,95%",C,Cicf
2207934,Pedro Laurentino,PI,C,"14,99%",A,"93,75%",B,"-10,65%",C,Bicf
2207959,Nova Santa Rita,PI,C,"22,52%",A,"94,89%",B,"-2,88%",C,Cicf
2208007,Picos,PI,B,"17,43%",A,"92,26%",B,"0,78%",B,Cicf
2208106,Pimenteiras,PI,C,"6,06%",A,"99,29%",C,"-36,34%",C,Cicf
2208205,Pio IX,PI,n.d.,"0,87%",A,"98,15%",C,n.d.,n.d.,Cicf
2208304,Piracuruca,PI,C,"9,56%",A,"93,31%",B,"-0,52%",C,Bicf
2208403,Piripiri,PI,B,"21,61%",A,"87,80%",B,"0,70%",B,Dicf
2208502,Porto,PI,C,"5,25%",A,"98,72%",C,"-15,27%",C,Bicf
2208551,Porto Alegre do Piauí,PI,C,"32,25%",A,"93,75%",B,"-1,97%",C,Cicf
2208601,Prata do Piauí,PI,C,"11,87%",A,"95,21%",C,"-0,46%",C,Bicf
2208650,Queimada Nova,PI,B,"5,10%",A,"94,77%",B,"3,26%",B,Bicf
2208700,Redenção do Gurguéia,PI,n.d.,"1,63%",A,n.d.,n.d.,"2,53%",B,Bicf
2208809,Regeneração,PI,C,"20,92%",A,"93,80%",B,"-3,68%",C,Cicf
2208858,Riacho Frio,PI,C,"0,14%",A,"92,85%",B,"-2,18%",C,Bicf
2208874,Ribeira do Piauí,PI,C,"1,16%",A,"92,37%",B,"-0,61%",C,Bicf
2208908,Ribeiro Gonçalves,PI,B,"0,01%",A,"90,03%",B,"0,23%",B,Cicf
2209005,Rio Grande do Piauí,PI,C,"6,09%",A,"95,22%",C,"-5,34%",C,Bicf
2209104,Santa Cruz do Piauí,PI,C,"9,52%",A,"95,91%",C,"0,00%",C,Dicf
2209153,Santa Cruz dos Milagres,PI,A,"4,83%",A,"89,08%",B,"6,23%",A,Cicf
2209203,Santa Filomena,PI,C,"4,19%",A,"102,81%",C,"-23,64%",C,Dicf
2209302,Santa Luz,PI,C,"0,00%",A,"98,36%",C,"2,06%",B,Cicf
2209351,Santana do Piauí,PI,C,"13,81%",A,"96,18%",C,"1,22%",B,Cicf
2209377,Santa Rosa do Piauí,PI,C,"10,40%",A,"100,69%",C,"-4,88%",C,Bicf
2209401,Santo Antônio de Lisboa,PI,C,"9,12%",A,"98,62%",C,"-1,91%",C,Dicf
2209450,Santo Antônio dos Milagres,PI,C,"0,31%",A,"94,20%",B,"-2,51%",C,Bicf
2209500,Santo Inácio do Piauí,PI,C,"0,00%",A,"100,83%",C,"-5,42%",C,Bicf
2209559,São Braz do Piauí,PI,C,"7,07%",A,"82,07%",A,"-1,49%",C,Cicf
2209609,São Félix do Piauí,PI,n.e.,"13,63%",A,"94,50%",B,"-8,17%",C,Eicf
2209658,São Francisco de Assis do Piauí,PI,n.d.,"0,86%",A,"109,12%",C,n.d.,n.d.,Dicf
2209708,São Francisco do Piauí,PI,n.d.,"2,90%",A,n.d.,n.d.,"-2,23%",C,Dicf
2209757,São Gonçalo do Gurguéia,PI,C,"9,35%",A,"92,99%",B,"-9,27%",C,Bicf
2209807,São Gonçalo do Piauí,PI,C,"8,10%",A,"106,25%",C,"-13,79%",C,Bicf
2209856,São João da Canabrava,PI,n.d.,"4,06%",A,"88,76%",B,n.d.,n.d.,Cicf
2209872,São João da Fronteira,PI,n.d.,"7,16%",A,"99,36%",C,n.d.,n.d.,Bicf
2209906,São João da Serra,PI,C,"5,61%",A,"95,25%",C,"-0,76%",C,Dicf
2209955,São João da Varjota,PI,A,"0,14%",A,"93,98%",B,"6,95%",A,Cicf
2209971,São João do Arraial,PI,n.d.,"1,63%",A,"88,98%",B,n.d.,n.d.,Cicf
2210003,São João do Piauí,PI,B,"9,57%",A,"93,46%",B,"0,27%",B,Bicf
2210052,São José do Divino,PI,B,"7,35%",A,"90,35%",B,"1,43%",B,Cicf
2210102,São José do Peixe,PI,C,"2,26%",A,"95,66%",C,"-1,51%",C,Dicf
2210201,São José do Piauí,PI,B,"4,29%",A,"91,78%",B,"0,30%",B,Bicf
2210300,São Julião,PI,C,"13,16%",A,"98,09%",C,"-0,80%",C,Aicf
2210359,São Lourenço do Piauí,PI,C,"10,65%",A,"97,04%",C,"-13,08%",C,Cicf
2210375,São Luis do Piauí,PI,C,"0,83%",A,"94,15%",B,"-1,31%",C,Dicf
2210383,São Miguel da Baixa Grande,PI,C,"3,63%",A,"95,26%",C,"-4,84%",C,Cicf
2210391,São Miguel do Fidalgo,PI,n.d.,"3,06%",A,n.d.,n.d.,"-2,32%",C,Dicf
2210409,São Miguel do Tapuio,PI,C,"3,04%",A,"92,91%",B,"-0,56%",C,Cicf
2210508,São Pedro do Piauí,PI,B,"0,89%",A,"90,65%",B,"0,13%",B,Bicf
2210607,São Raimundo Nonato,PI,C,"25,55%",A,"96,36%",C,"-12,81%",C,Dicf
2210623,Sebastião Barros,PI,C,"3,61%",A,"91,15%",B,"-26,71%",C,Cicf
2210631,Sebastião Leal,PI,B,"5,16%",A,"88,81%",B,"3,63%",B,Cicf
2210656,Sigefredo Pacheco,PI,C,"40,68%",A,"95,42%",C,"0,00%",C,Cicf
2210706,Simões,PI,n.d.,n.d.,n.d.,"98,42%",C,n.d.,n.d.,Dicf
2210805,Simplício Mendes,PI,n.d.,"17,24%",A,"91,46%",B,n.d.,n.d.,Dicf
2210904,Socorro do Piauí,PI,C,"0,80%",A,"96,49%",C,"-3,72%",C,Cicf
2210938,Sussuapara,PI,C,"0,25%",A,"96,42%",C,"0,00%",C,Dicf
2210953,Tamboril do Piauí,PI,B,"11,17%",A,"89,69%",B,"0,42%",B,Bicf
2210979,Tanque do Piauí,PI,A,"9,97%",A,"94,06%",B,"6,68%",A,Cicf
2211001,Teresina,PI,n.d.,"39,71%",A,"96,46%",C,n.d.,n.d.,Bicf
2211100,União,PI,A,"14,08%",A,"84,33%",A,"1,39%",B,Cicf
2211209,Uruçuí,PI,C,"32,17%",A,"83,46%",A,"-0,79%",C,Cicf
2211308,Valença do Piauí,PI,C,"0,08%",A,"95,40%",C,"-5,18%",C,Bicf
2211357,Várzea Branca,PI,C,"10,92%",A,"90,51%",B,"-2,22%",C,Cicf
2211407,Várzea Grande,PI,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Bicf
2211506,Vera Mendes,PI,C,"6,13%",A,"78,86%",A,"0,00%",C,Bicf
2211605,Vila Nova do Piauí,PI,C,"0,00%",A,"92,13%",B,"-5,37%",C,Dicf
2211704,Wall Ferraz,PI,n.d.,"6,01%",A,"90,83%",B,n.d.,n.d.,Bicf
2300101,Abaiara,CE,C,"30,88%",A,"92,99%",B,"-2,62%",C,Bicf
2300150,Acarape,CE,B,"34,66%",A,"87,67%",B,"0,74%",B,Cicf
2300200,Acaraú,CE,C,"34,03%",A,"91,51%",B,"-2,62%",C,Cicf
2300309,Acopiara,CE,C,"38,94%",A,"96,74%",C,"-19,49%",C,Cicf
2300408,Aiuaba,CE,A,"13,98%",A,"93,47%",B,"25,11%",A,Bicf
2300507,Alcântaras,CE,n.e.,"6,35%",A,"96,47%",C,"0,00%",C,Eicf
2300606,Altaneira,CE,C,"19,87%",A,"87,45%",B,"-9,61%",C,Bicf
2300705,Alto Santo,CE,B,"28,60%",A,"87,85%",B,"0,15%",B,Bicf
2300754,Amontada,CE,C,"12,82%",A,"98,87%",C,"-5,14%",C,Cicf
2300804,Antonina do Norte,CE,C,"17,26%",A,"85,60%",B,"-2,23%",C,Bicf
2300903,Apuiarés,CE,C,"12,94%",A,"97,68%",C,"-2,45%",C,Bicf
2301000,Aquiraz,CE,C,"10,46%",A,"95,00%",B,"-5,43%",C,Bicf
2301109,Aracati,CE,C,"14,70%",A,"87,46%",B,"-9,59%",C,Bicf
2301208,Aracoiaba,CE,C,"24,01%",A,"93,93%",B,"-3,49%",C,Bicf
2301257,Ararendá,CE,A,"3,62%",A,"83,73%",A,"3,44%",B,Bicf
2301307,Araripe,CE,C,"21,06%",A,"95,30%",C,"41,66%",A,Cicf
2301406,Aratuba,CE,C,"12,91%",A,"93,90%",B,"-0,40%",C,Bicf
2301505,Arneiroz,CE,C,"26,78%",A,"95,49%",C,"-3,04%",C,Cicf
2301604,Assaré,CE,A,"21,82%",A,"81,20%",A,"6,27%",A,Bicf
2301703,Aurora,CE,C,"20,35%",A,"94,19%",B,"-4,27%",C,Aicf
2301802,Baixio,CE,C,"68,07%",B,"96,21%",C,"-12,38%",C,Bicf
2301851,Banabuiú,CE,C,"37,40%",A,"96,66%",C,"-6,46%",C,Bicf
2301901,Barbalha,CE,B,"8,93%",A,"93,29%",B,"0,21%",B,Bicf
2301950,Barreira,CE,C,"40,44%",A,"94,28%",B,"-3,38%",C,Bicf
2302008,Barro,CE,C,"48,45%",A,"95,30%",C,"-8,05%",C,Bicf
2302057,Barroquinha,CE,n.d.,"14,63%",A,"97,30%",C,n.d.,n.d.,Bicf
2302107,Baturité,CE,C,"39,97%",A,"94,77%",B,"-0,92%",C,Bicf
2302206,Beberibe,CE,C,"13,42%",A,"93,59%",B,"-3,64%",C,Bicf
2302305,Bela Cruz,CE,C,"50,52%",A,"94,40%",B,"-8,08%",C,Bicf
2302404,Boa Viagem,CE,C,"17,21%",A,"86,98%",B,"-5,57%",C,Bicf
2302503,Brejo Santo,CE,A,"1,06%",A,"89,30%",B,"5,60%",A,Dicf
2302602,Camocim,CE,C,"15,07%",A,"95,55%",C,"-3,94%",C,Bicf
2302701,Campos Sales,CE,n.e.,"1,87%",A,"101,82%",C,"0,00%",C,Eicf
2302800,Canindé,CE,C,"53,33%",A,"91,95%",B,"-15,68%",C,Bicf
2302909,Capistrano,CE,C,"22,84%",A,"104,11%",C,"-32,18%",C,Bicf
2303006,Caridade,CE,C,"51,76%",A,"97,27%",C,"-10,85%",C,Cicf
2303105,Cariré,CE,A,"10,28%",A,"84,41%",A,"1,49%",B,Bicf
2303204,Caririaçu,CE,A,"19,85%",A,"75,35%",A,"0,12%",B,Bicf
2303303,Cariús,CE,A,"21,93%",A,"76,14%",A,"23,13%",A,Bicf
2303402,Carnaubal,CE,C,"0,00%",A,"95,29%",C,"-5,62%",C,Bicf
2303501,Cascavel,CE,C,"26,71%",A,"94,04%",B,"-11,05%",C,Bicf
2303600,Catarina,CE,B,"60,19%",B,"94,77%",B,"4,15%",B,Bicf
2303659,Catunda,CE,C,"28,52%",A,"93,87%",B,"-2,23%",C,Bicf
2303709,Caucaia,CE,C,"27,44%",A,"102,24%",C,"-11,66%",C,Bicf
2303808,Cedro,CE,C,"27,25%",A,"105,80%",C,"-6,95%",C,Cicf
2303907,Chaval,CE,B,"28,27%",A,"91,56%",B,"1,27%",B,Bicf
2303931,Choró,CE,C,"53,55%",A,"97,91%",C,"-10,33%",C,Bicf
2303956,Chorozinho,CE,C,"50,74%",A,"95,41%",C,"5,68%",A,Bicf
2304004,Coreaú,CE,B,"9,05%",A,"91,36%",B,"2,23%",B,Bicf
2304103,Crateús,CE,C,"14,24%",A,"97,90%",C,"-2,25%",C,Cicf
2304202,Crato,CE,B,"11,84%",A,"94,54%",B,"0,18%",B,Cicf
2304236,Croatá,CE,n.e.,"12,20%",A,"90,81%",B,"0,00%",C,Eicf
2304251,Cruz,CE,A,"8,70%",A,"83,29%",A,"9,92%",A,Bicf
2304269,Deputado Irapuan Pinheiro,CE,A,"14,15%",A,"92,42%",B,"7,01%",A,Bicf
2304277,Ereré,CE,B,"14,98%",A,"92,84%",B,"3,33%",B,Bicf
2304285,Eusébio,CE,C,"14,02%",A,"95,37%",C,"-10,56%",C,Cicf
2304301,Farias Brito,CE,C,"6,57%",A,"93,61%",B,"-4,51%",C,Bicf
2304350,Forquilha,CE,C,"17,13%",A,"92,89%",B,"-1,91%",C,Bicf
2304400,Fortaleza,CE,C,"40,72%",A,"96,19%",C,"0,40%",B,Aicf
2304459,Fortim,CE,C,"27,55%",A,"91,82%",B,"-9,25%",C,Bicf
2304509,Frecheirinha,CE,C,"21,12%",A,"93,27%",B,"-2,36%",C,Bicf
2304608,General Sampaio,CE,C,"14,03%",A,"99,07%",C,"-6,56%",C,Cicf
2304657,Graça,CE,B,"0,95%",A,"91,53%",B,"2,16%",B,Bicf
2304707,Granja,CE,C,"23,72%",A,"93,64%",B,"-1,26%",C,Bicf
2304806,Granjeiro,CE,B,"60,37%",B,"89,25%",B,"0,82%",B,Bicf
2304905,Groaíras,CE,B,"15,69%",A,"93,31%",B,"3,55%",B,Bicf
2304954,Guaiúba,CE,C,"16,41%",A,"88,93%",B,"-3,41%",C,Bicf
2305001,Guaraciaba do Norte,CE,C,"14,53%",A,"86,62%",B,"-0,08%",C,Bicf
2305100,Guaramiranga,CE,C,"30,36%",A,"89,02%",B,"-3,40%",C,Aicf
2305209,Hidrolândia,CE,C,"6,47%",A,"99,03%",C,"-1,14%",C,Bicf
2305233,Horizonte,CE,A,"29,06%",A,"80,94%",A,"4,26%",B,Bicf
2305266,Ibaretama,CE,C,"35,45%",A,"93,31%",B,"-3,72%",C,Bicf
2305308,Ibiapina,CE,C,"6,16%",A,"97,51%",C,"-6,34%",C,Bicf
2305332,Ibicuitinga,CE,C,"35,77%",A,"91,02%",B,"-6,63%",C,Bicf
2305357,Icapuí,CE,C,"54,66%",A,"92,05%",B,"-17,96%",C,Aicf
2305407,Icó,CE,B,"36,09%",A,"93,02%",B,"1,36%",B,Bicf
2305506,Iguatu,CE,C,"27,22%",A,"96,02%",C,"-8,48%",C,Dicf
2305605,Independência,CE,C,"17,74%",A,"94,27%",B,"-0,19%",C,Bicf
2305654,Ipaporanga,CE,C,"0,34%",A,"89,09%",B,"-11,45%",C,Bicf
2305704,Ipaumirim,CE,B,"11,94%",A,"90,42%",B,"1,15%",B,Bicf
2305803,Ipu,CE,n.e.,"1,34%",A,"-220,14%",n.d.,"0,00%",C,Eicf
2305902,Ipueiras,CE,C,"11,44%",A,"93,57%",B,"-3,56%",C,Bicf
2306009,Iracema,CE,C,"31,11%",A,"99,04%",C,"-6,48%",C,Bicf
2306108,Irauçuba,CE,A,"13,17%",A,"82,98%",A,"0,95%",B,Bicf
2306207,Itaiçaba,CE,B,"42,98%",A,"94,47%",B,"0,79%",B,Bicf
2306256,Itaitinga,CE,C,"2,60%",A,"87,15%",B,"-3,80%",C,Bicf
2306306,Itapajé,CE,C,"10,26%",A,"92,03%",B,"-5,28%",C,Bicf
2306405,Itapipoca,CE,C,"29,94%",A,"88,11%",B,"-6,61%",C,Bicf
2306504,Itapiúna,CE,C,"23,42%",A,"98,86%",C,"0,50%",B,Bicf
2306553,Itarema,CE,C,"45,06%",A,"85,79%",B,"-5,11%",C,Cicf
2306603,Itatira,CE,B,"23,63%",A,"90,18%",B,"3,97%",B,Bicf
2306702,Jaguaretama,CE,C,"36,31%",A,"89,98%",B,"-1,07%",C,Bicf
2306801,Jaguaribara,CE,C,"23,75%",A,"96,03%",C,"-2,07%",C,Bicf
2306900,Jaguaribe,CE,C,"16,53%",A,"86,52%",B,"-1,09%",C,Cicf
2307007,Jaguaruana,CE,C,"61,27%",B,"95,56%",C,"0,08%",B,Bicf
2307106,Jardim,CE,C,"34,09%",A,"91,55%",B,"-4,48%",C,Bicf
2307205,Jati,CE,B,"18,81%",A,"89,89%",B,"0,08%",B,Bicf
2307254,Jijoca de Jericoacoara,CE,C,"20,53%",A,"89,13%",B,"-4,46%",C,Bicf
2307304,Juazeiro do Norte,CE,C,"61,72%",B,"90,12%",B,"-4,82%",C,Bicf
2307403,Jucás,CE,C,"32,53%",A,"92,86%",B,"-1,83%",C,Bicf
2307502,Lavras da Mangabeira,CE,C,"24,64%",A,"91,52%",B,"-1,02%",C,Bicf
2307601,Limoeiro do Norte,CE,C,"25,42%",A,"99,82%",C,"-12,37%",C,Bicf
2307635,Madalena,CE,B,"21,62%",A,"92,66%",B,"2,38%",B,Bicf
2307650,Maracanaú,CE,B,"43,19%",A,"94,33%",B,"0,47%",B,Dicf
2307700,Maranguape,CE,C,"8,08%",A,"98,32%",C,"-2,64%",C,Cicf
2307809,Marco,CE,n.e.,"3,50%",A,"86,76%",B,"-1,94%",C,Eicf
2307908,Martinópole,CE,C,"12,76%",A,"97,91%",C,"-4,36%",C,Cicf
2308005,Massapê,CE,C,"7,24%",A,"95,41%",C,"-3,33%",C,Bicf
2308104,Mauriti,CE,C,"16,50%",A,"91,27%",B,"-1,31%",C,Bicf
2308203,Meruoca,CE,n.d.,"11,98%",A,n.d.,n.d.,"-3,43%",C,Bicf
2308302,Milagres,CE,n.e.,"5,22%",A,"84,85%",A,"-8,38%",C,Eicf
2308351,Milhã,CE,B,"20,84%",A,"90,83%",B,"4,01%",B,Bicf
2308377,Miraíma,CE,C,"20,55%",A,"95,91%",C,"-3,24%",C,Bicf
2308401,Missão Velha,CE,C,"72,92%",B,"95,44%",C,"-13,22%",C,Bicf
2308500,Mombaça,CE,C,"35,70%",A,"93,45%",B,"-2,58%",C,Bicf
2308609,Monsenhor Tabosa,CE,C,"20,34%",A,"92,05%",B,"-3,66%",C,Bicf
2308708,Morada Nova,CE,C,"7,92%",A,"95,76%",C,"-10,68%",C,Bicf
2308807,Moraújo,CE,A,"50,30%",A,"94,16%",B,"7,12%",A,Bicf
2308906,Morrinhos,CE,C,"5,66%",A,"99,09%",C,"-3,76%",C,Bicf
2309003,Mucambo,CE,n.e.,"4,38%",A,"89,22%",B,"0,41%",B,Eicf
2309102,Mulungu,CE,C,"23,18%",A,"95,34%",C,"-6,54%",C,Bicf
2309201,Nova Olinda,CE,A,"12,36%",A,"83,41%",A,"0,69%",B,Bicf
2309300,Nova Russas,CE,C,"12,53%",A,"91,19%",B,"-8,97%",C,Aicf
2309409,Novo Oriente,CE,n.d.,"25,71%",A,"95,17%",C,n.d.,n.d.,Bicf
2309458,Ocara,CE,A,"26,96%",A,"93,83%",B,"59,79%",A,Bicf
2309508,Orós,CE,C,"46,31%",A,"95,29%",C,"-6,48%",C,Bicf
2309607,Pacajus,CE,C,"51,36%",A,"93,90%",B,"-21,72%",C,Bicf
2309706,Pacatuba,CE,C,"41,76%",A,"90,74%",B,"-9,12%",C,Dicf
2309805,Pacoti,CE,C,"11,66%",A,"92,81%",B,"-6,86%",C,Bicf
2309904,Pacujá,CE,C,"31,94%",A,"96,93%",C,"-9,76%",C,Bicf
2310001,Palhano,CE,C,"37,48%",A,"104,94%",C,"-12,44%",C,Bicf
2310100,Palmácia,CE,C,"53,52%",A,"92,96%",B,"-6,64%",C,Bicf
2310209,Paracuru,CE,C,"37,31%",A,"97,94%",C,"-17,47%",C,Bicf
2310258,Paraipaba,CE,C,"13,63%",A,"85,73%",B,"-4,75%",C,Cicf
2310308,Parambu,CE,A,"2,88%",A,"81,19%",A,"19,18%",A,Bicf
2310407,Paramoti,CE,C,"21,09%",A,"90,62%",B,"-3,09%",C,Bicf
2310506,Pedra Branca,CE,C,"32,74%",A,"93,49%",B,"-1,09%",C,Cicf
2310605,Penaforte,CE,n.d.,"39,07%",A,n.d.,n.d.,"-14,30%",C,Bicf
2310704,Pentecoste,CE,C,"16,43%",A,"92,67%",B,"-0,56%",C,Bicf
2310803,Pereiro,CE,A,"0,45%",A,"79,02%",A,"1,99%",B,Cicf
2310852,Pindoretama,CE,C,"39,83%",A,"95,99%",C,"-12,85%",C,Bicf
2310902,Piquet Carneiro,CE,C,"43,09%",A,"93,97%",B,"-0,46%",C,Bicf
2310951,Pires Ferreira,CE,A,"15,85%",A,"84,71%",A,"0,82%",B,Bicf
2311009,Poranga,CE,C,"45,82%",A,"91,38%",B,"-13,77%",C,Bicf
2311108,Porteiras,CE,B,"6,82%",A,"89,50%",B,"0,48%",B,Bicf
2311207,Potengi,CE,C,"14,87%",A,"97,75%",C,"-7,93%",C,Cicf
2311231,Potiretama,CE,C,"25,92%",A,"89,97%",B,"-3,40%",C,Bicf
2311264,Quiterianópolis,CE,B,"3,73%",A,"89,65%",B,"0,23%",B,Bicf
2311306,Quixadá,CE,C,"9,33%",A,"96,48%",C,"-3,70%",C,Bicf
2311355,Quixelô,CE,C,"6,43%",A,"91,58%",B,"-3,10%",C,Cicf
2311405,Quixeramobim,CE,C,"22,61%",A,"95,52%",C,"-8,44%",C,Bicf
2311504,Quixeré,CE,A,"4,84%",A,"92,02%",B,"5,37%",A,Bicf
2311603,Redenção,CE,C,"64,33%",B,"91,81%",B,"-4,38%",C,Cicf
2311702,Reriutaba,CE,C,"22,20%",A,"87,01%",B,"-4,09%",C,Bicf
2311801,Russas,CE,C,"8,24%",A,"91,06%",B,"-0,60%",C,Bicf
2311900,Saboeiro,CE,n.e.,"28,51%",A,"95,90%",C,"-7,04%",C,Eicf
2311959,Salitre,CE,C,"28,38%",A,"94,17%",B,"-5,53%",C,Bicf
2312007,Santana do Acaraú,CE,C,"35,53%",A,"93,76%",B,"-4,20%",C,Bicf
2312106,Santana do Cariri,CE,C,"29,89%",A,"94,66%",B,"-17,54%",C,Dicf
2312205,Santa Quitéria,CE,C,"55,49%",A,"90,79%",B,"-6,70%",C,Cicf
2312304,São Benedito,CE,B,"27,55%",A,"89,45%",B,"0,24%",B,Bicf
2312403,São Gonçalo do Amarante,CE,B,"26,42%",A,"90,73%",B,"0,87%",B,Bicf
2312502,São João do Jaguaribe,CE,C,"6,00%",A,"97,53%",C,"-4,45%",C,Bicf
2312601,São Luís do Curu,CE,C,"21,47%",A,"96,90%",C,"-6,14%",C,Bicf
2312700,Senador Pompeu,CE,B,"23,31%",A,"89,11%",B,"4,87%",B,Bicf
2312809,Senador Sá,CE,A,"11,34%",A,"93,34%",B,"9,29%",A,Bicf
2312908,Sobral,CE,C,"20,35%",A,"95,31%",C,"0,05%",B,Bicf
2313005,Solonópole,CE,A,"10,94%",A,"84,30%",A,"0,38%",B,Bicf
2313104,Tabuleiro do Norte,CE,C,"17,75%",A,"94,75%",B,"-4,50%",C,Bicf
2313203,Tamboril,CE,C,"27,65%",A,"94,81%",B,"-4,85%",C,Bicf
2313252,Tarrafas,CE,C,"70,95%",B,"95,55%",C,"-6,50%",C,Bicf
2313302,Tauá,CE,C,"17,63%",A,"98,14%",C,"-2,58%",C,Bicf
2313351,Tejuçuoca,CE,A,"11,06%",A,"78,94%",A,"55,86%",A,Bicf
2313401,Tianguá,CE,C,"6,45%",A,"95,14%",C,"-2,14%",C,Bicf
2313500,Trairi,CE,C,"5,76%",A,"92,53%",B,"-5,06%",C,Bicf
2313559,Tururu,CE,C,"12,64%",A,"96,09%",C,"-2,77%",C,Bicf
2313609,Ubajara,CE,C,"20,58%",A,"93,82%",B,"-2,42%",C,Bicf
2313708,Umari,CE,C,"48,30%",A,"95,00%",C,"-6,82%",C,Bicf
2313757,Umirim,CE,C,"32,83%",A,"98,41%",C,"-13,74%",C,Bicf
2313807,Uruburetama,CE,C,"45,77%",A,"85,95%",B,"-2,84%",C,Cicf
2313906,Uruoca,CE,C,"38,32%",A,"95,80%",C,"-7,28%",C,Bicf
2313955,Varjota,CE,C,"10,92%",A,"89,41%",B,"-8,84%",C,Bicf
2314003,Várzea Alegre,CE,C,"31,15%",A,"91,27%",B,"-2,47%",C,Bicf
2314102,Viçosa do Ceará,CE,C,"3,37%",A,"80,36%",A,"-2,17%",C,Bicf
2400109,Acari,RN,B,"19,90%",A,"89,87%",B,"4,83%",B,Cicf
2400208,Açu,RN,C,"17,38%",A,"99,50%",C,"0,37%",B,Bicf
2400307,Afonso Bezerra,RN,C,"28,95%",A,"96,01%",C,"-8,00%",C,Cicf
2400406,Água Nova,RN,n.d.,"10,71%",A,"98,31%",C,n.d.,n.d.,Bicf
2400505,Alexandria,RN,C,"2,45%",A,"99,40%",C,"-4,08%",C,Bicf
2400604,Almino Afonso,RN,B,"3,91%",A,"93,70%",B,"0,85%",B,Bicf
2400703,Alto do Rodrigues,RN,C,"16,26%",A,"93,04%",B,"-3,48%",C,Cicf
2400802,Angicos,RN,C,"9,94%",A,"98,44%",C,"0,52%",B,Bicf
2400901,Antônio Martins,RN,n.d.,"8,80%",A,"95,82%",C,n.d.,n.d.,Cicf
2401008,Apodi,RN,n.d.,"2,39%",A,"96,74%",C,n.d.,n.d.,Cicf
2401107,Areia Branca,RN,C,"6,79%",A,"97,39%",C,"-0,28%",C,Cicf
2401206,Arês,RN,C,"37,41%",A,"90,67%",B,"-2,29%",C,Cicf
2401305,Campo Grande,RN,C,"5,98%",A,"96,12%",C,"0,11%",B,Bicf
2401404,Baía Formosa,RN,B,"16,84%",A,"93,20%",B,"0,17%",B,Bicf
2401453,Baraúna,RN,C,"35,59%",A,"93,44%",B,"-4,96%",C,Bicf
2401503,Barcelona,RN,n.d.,"0,00%",A,"102,29%",C,n.d.,n.d.,Dicf
2401602,Bento Fernandes,RN,C,"33,83%",A,"89,18%",B,"-0,31%",C,Bicf
2401651,Bodó,RN,C,"6,42%",A,"97,70%",C,"-0,04%",C,Bicf
2401701,Bom Jesus,RN,B,"44,98%",A,"92,07%",B,"0,68%",B,Bicf
2401800,Brejinho,RN,C,"51,66%",A,"97,17%",C,"-2,63%",C,Cicf
2401859,Caiçara do Norte,RN,C,"2,48%",A,"98,55%",C,"-2,62%",C,Bicf
2401909,Caiçara do Rio do Vento,RN,B,"7,07%",A,"88,51%",B,"4,11%",B,Bicf
2402006,Caicó,RN,C,"30,96%",A,"96,27%",C,"-6,31%",C,Bicf
2402105,Campo Redondo,RN,C,"38,68%",A,"91,95%",B,"-12,62%",C,Bicf
2402204,Canguaretama,RN,C,"46,85%",A,"95,53%",C,"-3,61%",C,Bicf
2402303,Caraúbas,RN,C,"37,85%",A,"89,90%",B,"-5,18%",C,Bicf
2402402,Carnaúba dos Dantas,RN,B,"23,73%",A,"85,66%",B,"1,99%",B,Bicf
2402501,Carnaubais,RN,C,"30,34%",A,"97,83%",C,"-0,93%",C,Bicf
2402600,Ceará-Mirim,RN,C,"22,02%",A,"85,63%",B,"-5,09%",C,Bicf
2402709,Cerro Corá,RN,C,"9,24%",A,"96,13%",C,"-1,18%",C,Bicf
